[16-06-05] [JVM_ENTRY]: [Nathan]
[16-06-05] [THREAD STARTED]: Object Creation Logger
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-28-38-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-28-38-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-29-05-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-29-05-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-29-54-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-29-54-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-30-51-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-30-51-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-31-14-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-31-14-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-32-04-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-32-04-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-33-03-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-33-03-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-46-38-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-46-38-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-47-32-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-47-32-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-49-44-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-49-44-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-51-08-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-51-08-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-52-25-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-52-25-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-54-49-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-54-49-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-57-34-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-57-34-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-12-47-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-12-47-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-13-58-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-13-58-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-40-42-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-40-42-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-42-31-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-42-31-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-43-51-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-43-51-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-45-07-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-45-07-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-47-34-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-47-34-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-48-01-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-48-01-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-49-58-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-49-58-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-56-04-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\22-56-04-1.log
